MOCS ID,Fiscal Year,Source,Council Member,Legal Name of Organization,EIN,Status,amount,Agency,Program Name,Address,Address 2 (optional),City,State,Postcode,Purpose of Funds,Fiscal Conduit Name,FC EIN,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
FY12 4563,2012,Murphy Institute Center for Worker Education,,City University of New York,136400434,Cleared,100000,CUNY,,,,,,,,,,,,,,,,,,
FY12 4551,2012,Creative Arts Team,,City University of New York,136400434,Cleared,200000,CUNY,,,,,,,,,,,,,,,,,,
FY12 4560,2012,Center for Puerto Rican Studies,,City University of New York,136400434,Cleared,250000,CUNY,,,,,,,,,,,,,,,,,,
FY12 4562,2012,Dominican Studies Institute,,City University of New York,136400434,Cleared,250000,CUNY,,,,,,,,,,,,,,,,,,
FY12 4561,2012,CUNY Nursing Program,,City University of New York,136400434,Cleared,500000,CUNY,,,,,,,,,,,,,,,,,,
FY12 4559,2012,Black Male Initiative,,City University of New York,136400434,Cleared,2250000,CUNY,,,,,,,,,,,,,,,,,,
FY13 1037,2013,Center for Puerto Rican Studies,,City University of New York,136400434,Government,250000,CUNY,,,,,,,"This allocation represents a restoration to the Center for Puerto Rican Studies which was created to archive, preserve, and research Puerto Rican culture. The Center is located at Hunter College in Manhattan.",,,,,,,,,,,
FY13 1041,2013,CUNY Nursing Initiative,,City University of New York,136400434,Government,45000,CUNY,,,,,,,This funding will provide professional training for a graduating cohort of nurses.,,,,,,,,,,,
FY13 1044,2013,Murphy Institute Center for Worker Education,,City University of New York,136400434,Government,100000,CUNY,,,,,,,This allocation represents a restoration to the Murphy Institute Center for Worker Education which provides access to education for working adults and training and education for New York City union members.,,,,,,,,,,,
FY13 1043,2013,Hunter College Food Policy Center,,City University of New York,136400434,Government,200000,CUNY,,,,,,,"The NYC Food Policy Center at Hunter College seeks to assist New York City communities, residents, government agencies and institutions to develop, implement and evaluate policies that will improve the city’s food environment and reduce food-related health, social, environmental and economic problems.",,,,,,,,,,,
FY13 1042,2013,Dominican Studies Institute,,City University of New York,136400434,Government,250000,CUNY,,,,,,,"This allocation represents a restoration to the CUNY Dominican Studies Institute, which was created to archive, preserve, and research the Dominican culture.  The institute is located at City College in Manhattan.",,,,,,,,,,,
FY13 1040,2013,CUNY Citizenship NOW,,City University of New York,136400434,Government,600000,CUNY,,,,,,,This funding will provide professional training for a graduating cohort of nurses.,,,,,,,,,,,
FY13 1038,2013,Creative Arts Team,,City University of New York,136400434,Government,200000,CUNY,,,,,,,"This allocation represents funding to support the Creative Arts Team, which challenges at-risk youth with participatory drama workshops and residencies that foster important learning skills and positive social development.   These outreach programs serve a variety of student populations in regular, special education, alternative, and Head Start programs.  They are also age-appropriate and tailored for each grade level from Pre-K to high school.",,,,,,,,,,,
FY13 1039,2013,CUNY Advanced Certificate Program,,City University of New York,136400434,Government,101137,CUNY,,,,,,,"The program provides additional, targeted classroom and lab instruction for CUNY students studying computer science and related fields to prepare them to join the City’s tech workforce.",,,,,,,,,,,
FY13 1045,2013,Technical Assistance for Child Care Providers,,City University of New York,136400434,Government,1000000,CUNY,NY Early Childhood Professional Development Institute,"16 Court St.,  31st floor",,Brooklyn,NY,11241,Funding for technical assistance to child care providers.,,,BROOKLYN,40.693445,-73.990577,2,33,9,3002108,3002500044,Brooklyn Heights-Cobble Hill
FY14 1246,2014,Murphy Institute Center for Worker Education,,City University of New York,136400434,Cleared,100000,CUNY,,,,,,,This allocation represents a restoration to the Murphy Institute Center for Worker Education which provides access to education for working adults and training and education for New York City union members.,,,,,,,,,,,
FY14 6758,2014,Technical Assistance for Child Care Providers,,City University of New York,136400434,Cleared,100000,CUNY,,,,,,,,,,,,,,,,,,
