MOCS ID,Fiscal Year,Source,Council Member,Legal Name of Organization,EIN,Status,amount,Agency,Program Name,Address,Address 2 (optional),City,State,Postcode,Purpose of Funds,Fiscal Conduit Name,FC EIN,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
FY21 01351,2021,Local,Borelli,Department of Education,136400434,Cleared,3000,DOE,Public School 42R (31R042) - PTA,,,New York,NY,,Funds will be used to support the Parent Teacher Association of Public School 42R.,,,,,,,,,,,
FY21 01352,2021,Local,Rose,Department of Education,136400434,Cleared,542,DOE,Public School 44R,,,New York,NY,,Funds will be used by the PTA at the P.S.44 Thomas C. Brown School (31R044).,,,,,,,,,,,
FY21 01353,2021,Local,Rosenthal,Department of Education,136400434,Cleared,5000,DOE,Public School 452M,,,New York,NY,,Funds support enrichment programming at Public School 452M.,,,,,,,,,,,
FY21 01354,2021,Local,Rose,Department of Education,136400434,Cleared,541,DOE,Public School 45R,,,New York,NY,,Funds will be used by the PTA at the P.S.45 John Tyler School (31R045).,,,,,,,,,,,
FY21 01355,2021,Local,Matteo,Department of Education,136400434,Cleared,5000,DOE,Public School 46R,,,New York,NY,,Funds will be used for Academic Intervention Services.,,,,,,,,,,,
FY21 01356,2021,Local,Borelli,Department of Education,136400434,Cleared,3000,DOE,Public School 4R (31R004) - PTA,,,New York,NY,,Funds will be used to support the Parent Teacher Association of Public School 4R.,,,,,,,,,,,
FY21 01357,2021,Local,Matteo,Department of Education,136400434,Cleared,5000,DOE,Public School 50R,,,New York,NY,,Funds will be used for Academic Intervention Services.,,,,,,,,,,,
FY21 01358,2021,Local,Borelli,Department of Education,136400434,Cleared,3000,DOE,Public School 53R (31R053) - PTA,,,New York,NY,,Funds will be used to support the Parent Teacher Association of Public School 53R.,,,,,,,,,,,
FY21 01359,2021,Local,Borelli,Department of Education,136400434,Cleared,3000,DOE,Public School 55R (31R055) - PTA,,,New York,NY,,Funds will be used to support the Parent Teacher Association of Public School 55R.,,,,,,,,,,,
FY21 01360,2021,Local,Borelli,Department of Education,136400434,Cleared,3000,DOE,Public School 56R (31R056)- PTA,,,New York,NY,,Funds will be used to support the Parent Teacher Association of Public School 56R.,,,,,,,,,,,
FY21 01361,2021,Local,Rose,Department of Education,136400434,Cleared,542,DOE,Public School 57R,,,New York,NY,,Funds will be used by the PTA at the P.S.57 Hubert H. Humphrey School (31R057).,,,,,,,,,,,
FY21 01362,2021,Local,Borelli,Department of Education,136400434,Cleared,3000,DOE,Public School 58R (31R058) - PTA,,,New York,NY,,Funds will be used to support the Parent Teacher Association of Public School 58R.,,,,,,,,,,,
FY21 01363,2021,Local,Rose,Department of Education,136400434,Cleared,541,DOE,Public School 59R,,,New York,NY,,Funds will be used by the PTA at The Harbor View School (31R059).,,,,,,,,,,,
FY21 00598,2021,Local,Cumbo,Brooklyn Community Board #8,136400434,Cleared,2500,BKCB,Operating Expenses & Video Conferencing,,,Brooklyn,NY,,Funding to support operating expenses and video conferencing needs for Community Board 8.,,,,,,,,,,,
FY21 00599,2021,Anti-Poverty,Ampry-Samuel,Brooklyn Community Board #9,136400434,Cleared,1000,BKCB,,,,Brooklyn,NY,,Funds to support community events.,,,,,,,,,,,
FY21 08900,2021,Local,Reynoso,Central Brooklyn Economic Development Corporation,112981085,Cleared,5000,DYCD,,444 Thomas Boyland Street - Room 301,,Brooklyn,NY,11212,Fund will be used to support recycling programming in NYCHA developments.,,,,,,,,,,,
FY21 01364,2021,Local,Borelli,Department of Education,136400434,Cleared,3000,DOE,Public School 5R (31R005) - PTA,,,New York,NY,,Funds will be used to support the Parent Teacher Association of Public School 5R.,,,,,,,,,,,
FY21 01365,2021,Local,Borelli,Department of Education,136400434,Cleared,3000,DOE,Public School 62R (31R062) - PTA,,,New York,NY,,Funds will be used to support the Parent Teacher Association of Public School 62R.,,,,,,,,,,,
FY21 01366,2021,Local,Rose,Department of Education,136400434,Cleared,542,DOE,Public School 65R,,,New York,NY,,Funds will be used by the PTA at the P.S.65 Academy of Innovative Learning school (31R065).,,,,,,,,,,,
FY21 01367,2021,Local,Rose,Department of Education,136400434,Cleared,500,DOE,Public School 68R,,,New York,NY,,Funds will be used by the PTA at P.S. 68 (31R068).,,,,,,,,,,,
FY21 00855,2021,Youth,Yeger,"CHAZAQ Organization USA, Inc.",462148352,Cleared,2000,DYCD,,141-24 Jewel Ave,,Flushing,NY,11367,To cover programming costs for after-school activities.,,,QUEENS,40.729843,-73.824045,408,24,77902,4143179,4066160036,Kew Gardens Hills
FY21 01311,2021,Local,Richards,Department of Education,136400434,Cleared,5000,DYCD,Parent Teacher Association - Knowledge and Power Preparatory Academy VI 27Q282,,,New York,NY,,Funds to be used to support Kappa VI PTA and programs in Council District 31.,,,,,,,,,,,
FY21 01313,2021,Local,Koslowitz,Department of Education,136400434,Cleared,1000,DOE,Parents Association @ Public School 144Q,,,New York,NY,,Funds are to support the Parents Association at Public School 144Q.,,,,,,,,,,,
FY21 01314,2021,Local,Rose,Department of Education,136400434,Cleared,500,DOE,Port Richmond High School,,,New York,NY,,Funds will be used by the PTA at Port Richmond High School (31R445).,,,,,,,,,,,
FY21 01315,2021,Local,Levin,Department of Education,136400434,Cleared,2000,DOE,Public School / Intermediate School 157K,,,New York,NY,,To support arts programming.,,,,,,,,,,,
FY21 01316,2021,Local,Treyger,Department of Education,136400434,Cleared,5000,DOE,Public School / Intermediate School 288K,,,New York,NY,,The funds will be used to support the step team and dance team at P.S. 288K.,,,,,,,,,,,
FY21 01317,2021,Local,Levin,Department of Education,136400434,Cleared,2000,DOE,Public School 110K - PTA,,,New York,NY,,To support art residencies at Public School 110K.,,,,,,,,,,,
FY21 01368,2021,Local,Borelli,Department of Education,136400434,Cleared,3000,DOE,Public School 69R (31R069) - PTA,,,New York,NY,,Funds will be used to support the Parent Teacher Association of Public School 69R.,,,,,,,,,,,
FY21 01369,2021,Local,Borelli,Department of Education,136400434,Cleared,3000,DOE,Public School 6R (31R006) - PTA,,,New York,NY,,Funds will be used to support the Parent Teacher Association of Public School 6R.,,,,,,,,,,,
FY21 08133,2021,Support Our Seniors,Deutsch,Brooklyn Legal Services Corporation A,132605599,Cleared,10000,DFTA,,260 Broadway,,Brooklyn,NY,11211,This funding will support district based senior services.,,,BROOKLYN,40.708935,-73.959386,301,33,525,3059650,3021400021,North Side-South Side
FY21 01370,2021,Local,Rose,Department of Education,136400434,Cleared,542,DOE,Public School 74R,,,New York,NY,,Funds will be used by the P.S.74 Future Leaders Elementary School (31R074).,,,,,,,,,,,
FY21 01371,2021,Local,Rose,Department of Education,136400434,Cleared,542,DOE,Public School 78R,,,New York,NY,,Funds will be used by the PTA at P.S.78 (31R078).,,,,,,,,,,,
FY21 01372,2021,Local,Adams,Department of Education,136400434,Cleared,4200,DOE,Public School 80Q (28Q080),,,New York,NY,,Cafeteria Tables for PS 80Q.,,,,,,,,,,,
FY21 08163,2021,Support Our Seniors,Eugene,Brooklyn Legal Services Corporation A,132605599,Cleared,10000,DFTA,,260 Broadway,,Brooklyn,NY,11211,This funding will support district based senior services.,,,BROOKLYN,40.708935,-73.959386,301,33,525,3059650,3021400021,North Side-South Side
FY21 01373,2021,Local,Rosenthal,Department of Education,136400434,Cleared,10000,DOE,Public School 84M,,,New York,NY,,Funds support enrichment programming at Public School 84M.,,,,,,,,,,,
FY21 08156,2021,Support Our Seniors,D. Diaz,Brooklyn Legal Services Corporation A,132605599,Cleared,20000,DFTA,,260 Broadway,,Brooklyn,NY,11211,This funding will support district based senior services.,,,BROOKLYN,40.708935,-73.959386,301,33,525,3059650,3021400021,North Side-South Side
FY21 00637,2021,Youth,Louis,"Brooklyn Pride, Inc.",113357221,Cleared,5000,DYCD,Council District 45,P.O. Box 150508,,Brooklyn,NY,11215,Funding will be used to support LGBTQ youth.,,,,,,,,,,,
FY21 01374,2021,Local,Borelli,Department of Education,136400434,Cleared,3000,DOE,Public School 8R (31R008) - PTA,,,New York,NY,,Funds will be used to support the Parent Teacher Association of Public School 8R.,,,,,,,,,,,
FY21 01375,2021,Local,Matteo,Department of Education,136400434,Cleared,5000,DOE,Ralph McKee High School,,,New York,NY,,Funds will be used to help buy additional supplies for students.,,,,,,,,,,,
FY21 00001,2021,Local,Richards,"4 Kids in Need, Inc.",300539949,Cleared,5000,DYCD,,110-31 73rd Road,#3-G,Forest Hills,NY,11375,Funds to be used for program support in Council District 31 regarding educational programming/resources and care package distribution.,,,QUEENS,40.71822,-73.839307,406,29,76901,4078799,4032927501,Forest Hills
FY21 00002,2021,Local,Johnson,42nd Street Workshop,133763953,Cleared,5000,DCLA,New Play Development,421 8th Ave #53,,New York,NY,10116,"Funding to support costs associated with New Play Development programming and activities, including provision of low-cost/no-cost tickets to students, seniors and general public.",,,MANHATTAN,40.751024,-73.994326,104,3,103,1084820,1007550040,Hudson Yards-Chelsea-Flatiron-Union Square
FY21 00003,2021,Local,Johnson,"52nd Street Project, Inc., The",133467948,Cleared,5000,DCLA,,789 Tenth Avenue,,New York,NY,10019,To support The 52nd Street project's theatrical and academic mentoring programs.,,,MANHATTAN,40.766661,-73.990365,104,3,135,1087777,1010817502,Clinton
FY21 00004,2021,Local,Louis,"67th Precinct Clergy Council, Inc.",274581070,Cleared,5000,DYCD,Council District 45,203 E. 37th St.,,Brooklyn,NY,11203,Funds support programming at 67th Precinct Council.,,,BROOKLYN,40.652199,-73.942929,317,41,816,3108829,3048740054,East Flatbush-Farragut
FY21 00005,2021,Local,Brannan,"68th Precinct Community Council, Inc.",203970147,Cleared,7500,DYCD,,302 96th Street,Apt 2M,Brooklyn,NY,11209,To fund National Night Out Against Crime.,,,BROOKLYN,40.616312,-74.033516,310,43,5601,3155738,3061220001,Bay Ridge
FY21 00006,2021,Anti-Poverty,Ampry-Samuel,"77th Precinct Community Council, Inc.",113463183,Cleared,2500,DYCD,,127 Utica Avenue,,Brooklyn,NY,11232,Funds will support 77th Precinct community events.,,,BROOKLYN,40.674488,-73.93057,308,36,307,3035883,3013550001,Crown Heights North
FY21 00007,2021,Youth,Cumbo,"77th Precinct Community Council, Inc.",113463183,Cleared,2500,DYCD,Project Impact,127 Utica Avenue,,Brooklyn,NY,11232,Funding to support 77th Precinct Youth Council & Community Council programming.,,,BROOKLYN,40.674488,-73.93057,308,36,307,3035883,3013550001,Crown Heights North
FY21 00008,2021,Youth,Moya,82nd Street Academics,200788352,Cleared,10000,DYCD,Public School 280Q & Other Schools - Council District 21,81-10 35th Avenue,,Jackson Heights,NY,11372,"Funding will support the after school program at PS 280Q, as well as create new slots in the program for students from Council District 21.",,,QUEENS,40.751703,-73.885406,403,25,283,4029684,4012810001,Jackson Heights
FY21 00009,2021,Youth,Dromm,82nd Street Academics,200788352,Cleared,40000,DYCD,Renaissance Charter School,81-10 35th Avenue,,Jackson Heights,NY,11372,To support after-school program at the Renaissance Charter School.,,,QUEENS,40.751703,-73.885406,403,25,283,4029684,4012810001,Jackson Heights
FY21 00010,2021,Local,Levin,84th Precinct Community Council,113149257,Cleared,5000,DYCD,,301 GOLD STREET,,BROOKLYN,NY,11201,To support the operations of the 84th Precinct Community Council.,,,BROOKLYN,40.695447,-73.983228,302,35,15,3000252,3001340006,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
FY21 00011,2021,Local,Cumbo,"88th Precinct Youth Council, Inc.",112799514,Cleared,5000,DYCD,Helping Encourage Leadership Potential (HELP) Camp,298 Classon Avenue,"Brooklyn, New York 11217",Brooklyn,NY,11205,Funding to support the operating expense of the 88th Precinct Youth Council.,,,BROOKLYN,40.690304,-73.960295,302,35,193,3055379,3019330121,Clinton Hill
FY21 00012,2021,Local,Vallone,109th Precinct Community Council,112417336,Cleared,5000,DYCD,Family Fun Day,37-05 Union Street,,Flushing,NY,11354,Funding will support expenses related to running the annual Family Fun Day.,,,QUEENS,40.762286,-73.827436,407,20,865,4113348,4050110006,Flushing
FY21 00013,2021,Local,Koo,109th Precinct Community Council,112417336,Cleared,5000,DYCD,National Night Out & Family Fun Day,37-05 Union Street,,Flushing,NY,11354,"To support the 109th Police Precinct's National Night Out Against Crime and Family Fun Day, including entertainment, food, drink, and rental costs.",,,QUEENS,40.762286,-73.827436,407,20,865,4113348,4050110006,Flushing
FY21 00015,2021,Local,Dromm,"110th Precinct Community Council, Inc.",432025653,Cleared,5000,DYCD,National Night Out,94-41 43rd Avenue,,Elmhurst,NY,11373,To support the National Night Out crime/drug prevention awareness event.,,,QUEENS,40.745036,-73.870004,404,21,465,4445296,4015920072,Elmhurst
FY21 00016,2021,Local,Moya,"110th Precinct Community Council, Inc.",432025653,Cleared,5000,DYCD,National Night Out,94-41 43rd Avenue,,Elmhurst,NY,11373,Funding to support the operational expenses associated with National Night Out event.,,,QUEENS,40.745036,-73.870004,404,21,465,4445296,4015920072,Elmhurst
FY21 00014,2021,Youth,Moya,"110th Precinct Community Council, Inc.",432025653,Cleared,6000,DYCD,Council District 21,94-41 43rd Avenue,,Elmhurst,NY,11373,"Funding for equipment, seasonal community events and activities, with an emphasis on the youth, held in Council District 21. Examples include Harmony Day, Haunted House, Thanksgiving Dinner / Food Drive and Winter Toy Drive, Summer Games etc.",,,QUEENS,40.745036,-73.870004,404,21,465,4445296,4015920072,Elmhurst
FY21 00017,2021,Local,Eugene,1199 SEIU Employer Child Care Corporation,134063281,Cleared,5000,DYCD,,330 West 42nd Street,,"New York, NY",NY,11208,Funds will support the 1199SEIU/Employer Childcare Corporation' Future of America Learning Center (FALC) and provide STEM professional-development opportunities for FALC parents and its early childhood educators.,,,BROOKLYN,40.651664,-74.009118,307,38,82,,,Sunset Park West
